Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards
2011,25,STL,NL,7,19,15,0,1,1,0,0,0,0,0,4,4,0.067,0.263,0.133,0.396,15,2,0,0,0,0,0,/5H,
2012,26,STL,NL,114,340,296,44,87,22,5,6,46,1,1,34,63,0.294,0.365,0.463,0.828,125,137,10,3,0,7,2,3H59/74,RoY-6
2013,27,STL,NL,157,717,626,126,199,55,7,11,78,3,3,72,98,0.318,0.392,0.481,0.873,140,301,4,9,3,7,1,*45/H39,"AS,MVP-4,SS"
2014,28,STL,NL,158,709,595,99,162,33,2,8,59,5,3,95,111,0.272,0.375,0.375,0.75,112,223,3,8,2,9,2,*5/H9D,AS
2015,29,STL,NL,154,665,574,101,156,44,3,28,84,4,3,81,151,0.272,0.365,0.505,0.871,135,290,5,6,0,4,5,*54/3H,MVP-12
2016,30,STL,NL,129,566,473,81,128,36,6,21,68,0,4,81,108,0.271,0.38,0.505,0.885,136,239,4,5,3,4,6,534/HD,AS
2017,31,STL,NL,145,622,497,91,120,31,2,23,69,2,1,109,125,0.241,0.384,0.451,0.835,120,224,5,9,2,5,4,*354/HD,
2018,32,STL,NL,156,677,564,111,145,42,0,36,81,4,1,102,158,0.257,0.374,0.523,0.897,143,295,0,6,0,4,17,354/HD,MVP-9
2019,33,STL,NL,129,492,416,59,94,20,2,15,46,6,1,63,129,0.226,0.334,0.392,0.726,92,163,3,7,1,5,0,5H/3D,
2020,34,STL,NL,50,169,140,22,26,6,0,4,24,0,0,23,48,0.186,0.325,0.314,0.64,79,44,1,6,0,0,1,5D/3H,
2021,35,STL,NL,130,249,207,18,35,11,1,3,21,2,0,35,77,0.169,0.305,0.275,0.581,63,57,1,6,0,1,1,H43/5D1,
2022,36,NYY,AL,31,97,79,23,28,5,0,13,34,0,0,13,24,0.354,0.469,0.911,1.38,286,72,1,4,1,0,1,DH/3957,
12 Yrs,,,,1360,5322,4482,775,1181,306,28,168,610,27,17,712,1096,0.263,0.37,0.457,0.826,125,2047,37,69,12,46,40,,
162 Game Avg.,,,,162,634,534,92,141,36,3,20,73,3,2,85,131,0.263,0.37,0.457,0.826,125,244,4,8,1,5,5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STL (11 yrs),,,,1329,5225,4403,752,1153,301,28,155,576,27,17,699,1072,0.262,0.368,0.449,0.816,122,1975,36,65,11,46,39,,
NYY (1 yr),,,,31,97,79,23,28,5,0,13,34,0,0,13,24,0.354,0.469,0.911,1.38,286,72,1,4,1,0,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NL (11 yrs),,,,1329,5225,4403,752,1153,301,28,155,576,27,17,699,1072,0.262,0.368,0.449,0.816,122,1975,36,65,11,46,39,,
AL (1 yr),,,,31,97,79,23,28,5,0,13,34,0,0,13,24,0.354,0.469,0.911,1.38,286,72,1,4,1,0,1,,