Rk,Gtm,Date,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,AVG,WHIP
1,1,Apr 8,0.2,3,1,1,0,0,0,0,13.5,3.11,0.6,4.5
2,2,Apr 9,1,0,0,0,1,1,0,0,5.4,3.71,0.375,2.4
3,5,Apr 12,1.2,0,0,0,0,2,0,0,2.7,2.21,0.231,1.2
4,7,Apr 14,0.2,1,0,0,0,1,0,0,2.25,1.86,0.25,1.25
5,9,Apr 16,1.1,0,0,0,0,1,0,0,1.69,1.8,0.2,0.94
6,11,Apr 19,0.2,1,0,0,1,1,0,0,1.5,2.11,0.217,1.17
7,12,Apr 20,1,0,0,0,0,2,0,0,1.29,1.68,0.192,1
8,15,Apr 23,0.2,0,0,0,0,0,0,0,1.17,1.81,0.179,0.91
9,17,Apr 26,1,1,0,0,0,1,0,0,1.04,1.73,0.188,0.92
10,18,Apr 27,1,0,0,0,0,2,0,0,0.93,1.46,0.171,0.83
11,21,Apr 30,1,1,0,0,0,0,0,1,0.84,1.89,0.179,0.84
12,23,May 2,1.1,2,0,0,0,1,0,0,0.75,1.86,0.205,0.92
13,25,May 4,1,0,0,0,0,1,0,0,0.69,1.8,0.191,0.85
14,26,May 8,1,1,0,0,0,2,0,0,0.64,1.61,0.196,0.86
15,28,May 9,0.2,0,0,0,0,0,0,0,0.61,1.68,0.192,0.82
16,30,May 11,1.2,0,0,0,0,1,0,0,0.55,1.7,0.175,0.73
17,33,May 14,1,1,0,0,0,1,0,0,0.52,1.67,0.18,0.75
18,34,May 15,1,1,0,0,0,1,0,0,0.49,1.64,0.185,0.76
19,37,May 18,2,1,0,0,0,1,0,0,0.44,1.69,0.183,0.74
20,39,May 21,1.1,0,0,0,0,2,0,0,0.42,1.59,0.173,0.69
21,43,May 24,1,0,0,0,0,2,0,0,0.4,1.48,0.167,0.66
22,44,May 25,1,2,0,0,0,1,0,0,0.38,1.46,0.181,0.72
23,46,May 27,1,0,0,0,0,2,0,0,0.36,1.37,0.174,0.69
24,51,Jun 2,1,0,0,0,1,1,0,2,0.35,1.71,0.169,0.7
25,53,Jun 4,1,0,0,0,0,1,0,0,0.34,1.69,0.163,0.68
26,57,Jun 9,1,0,0,0,0,1,0,0,0.33,1.67,0.158,0.65
27,58,Jun 10,1,1,0,0,0,0,0,0,0.31,1.72,0.162,0.66
28,61,Jun 14,1,1,0,0,0,2,0,0,0.3,1.63,0.165,0.67
29,62,Jun 15,1,1,0,0,0,1,0,0,0.29,1.61,0.168,0.68
30,65,Jun 18,1.1,0,0,0,0,1,0,0,0.28,1.61,0.162,0.66
31,67,Jun 20,0.2,2,1,1,1,1,0,0,0.55,1.67,0.174,0.73
32,69,Jun 22,1,0,0,0,0,1,0,0,0.53,1.66,0.169,0.71
33,73,Jun 26,1,0,0,0,1,1,0,0,0.52,1.73,0.165,0.72
34,75,Jun 28,1,2,1,0,0,2,0,0,0.5,1.65,0.175,0.76
35,76,Jun 29,1,0,0,0,0,0,0,0,0.49,1.69,0.171,0.74
36,79,Jul 2,0.1,0,0,0,0,0,0,0,0.49,1.71,0.169,0.73
37,83,Jul 7,1,0,0,0,0,1,0,0,0.47,1.69,0.165,0.71
38,85,Jul 9,1.1,1,0,0,1,1,0,0,0.46,1.76,0.167,0.74
39,87,Jul 12,0,2,4,4,1,0,0,2,1.37,1.99,0.179,0.81
40,88,Jul 13,1,1,0,0,1,1,0,0,1.34,2.05,0.181,0.84
41,90,Jul 15,1,1,0,0,1,3,0,0,1.31,2,0.182,0.87
42,95,Jul 22,1.2,1,0,0,0,3,0,0,1.26,1.9,0.182,0.86
43,99,Jul 27,1,0,0,0,1,0,0,0,1.23,2,0.178,0.86
44,100,Jul 28,1,0,0,0,2,1,0,0,1.2,2.11,0.175,0.89
45,103,Jul 31,0.2,1,3,3,1,0,1,1,1.77,2.54,0.178,0.92
46,107,Aug 5,1,2,2,2,1,2,0,0,2.12,2.53,0.185,0.96