Rk,Gcar,Gtm,Date,Tm,At,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Entered,Exited,1stInnR,1stInnER,1stInnBB,1stInnSO,1stInn1B,1stInn2B,1stInn3B,1stInnHR
1,235,1,Apr 8,NYY,,BOS,"W,6-5",GS-4,,99,4,4,3,3,1,3,1,1,6.75,6.37,17,68,42,8,11,4,8,3,1,0,44,0,0,0,15,1,0,0,1,0,0,0.89,-0.084,0.87,-0.05%,-0.92,5.4,12,1t start tie,4t 3 out d1,3,3,1,1,1,1,0,1
2,236,6,Apr 13,NYY,,TOR,"L,4-6",GS-6,,4,5.2,4,3,3,1,6,2,0,5.59,6.22,22,85,54,14,16,6,9,4,0,0,54,0,0,0,21,2,0,0,0,0,0,0.73,-0.08,0.77,-0.05%,-0.24,15.75,26,1t start tie,6t --3 2 out tie,1,1,0,1,0,0,0,1
3,237,11,Apr 19,NYY,@,DET,"W,4-2",GS-2,,5,1.2,1,2,2,5,3,0,0,6.35,6.56,11,68,37,9,9,0,3,2,0,0,43,0,0,0,5,0,0,0,0,1,0,1.46,-0.171,1.5,-0.11%,-1.77,2.15,8,1b start a 2,2b 123 2 out a1,0,0,1,3,0,0,0,0
4,238,16,Apr 24,NYY,,CLE,"W,10-2",GS-7,W(1-0),4,6.2,4,0,0,1,9,0,0,4,4.45,24,92,66,19,12,6,8,4,1,0,74,0,0,0,23,0,0,0,1,0,0,0.43,0.193,0.47,0.13%,3.41,34,57,1t start tie,7t 1-- 2 out a8,0,0,1,2,0,0,0,0
5,239,21,Apr 30,NYY,@,KCR,"W,3-0",GS-6,W(2-0),5,6,5,0,0,2,6,0,0,3,3.87,26,91,57,18,9,9,9,5,1,0,66,0,0,0,24,1,0,0,0,0,1,1.15,0.336,1.41,0.25%,3.28,25.3,46,1b start tie,6b 3 out a3,0,0,0,0,0,0,0,0
6,240,26,May 8,NYY,,TEX,"W,2-1",GS-7,,7,6.1,5,1,1,1,10,1,0,2.67,3.58,25,114,76,17,21,5,9,3,1,0,68,0,0,0,24,1,0,0,0,0,0,1.13,0.21,1.37,0.15%,2.37,28.65,50,1t start tie,7t --- 1 out tie,0,0,0,2,2,0,0,0
7,241,32,May 13,NYY,@,CHW,"W,10-4",GS-7,W(3-0),4,6.1,6,3,3,1,9,1,0,2.95,3.44,27,97,71,19,17,11,6,2,0,0,57,0,0,0,26,1,0,0,0,0,0,0.78,0.119,0.97,0.09%,0.41,26.05,47,1b start a 2,7b --- 1 out a4,0,0,1,3,0,1,0,0
8,242,37,May 18,NYY,@,BAL,"W,3-2",GS-7,W(4-0),4,7,6,2,2,0,5,0,0,2.89,3.16,27,97,70,20,14,9,13,7,3,0,62,0,0,0,27,2,0,0,1,0,0,1.13,0.224,1.2,0.14%,1.76,22.15,40,1b start a 3,7b 3 out a1,0,0,0,0,1,1,0,0
9,243,42,May 23,NYY,,BAL,"L,4-6",GS-8,L(4-1),4,8,8,5,5,0,11,1,0,3.31,2.98,32,110,77,17,17,8,13,5,1,0,57,1,0,0,32,2,0,0,0,0,0,0.92,-0.188,1.04,-0.13%,-0.83,25.2,42,1t start tie,8t 3 out d1,0,0,0,0,0,0,0,0
10,244,47,May 28,NYY,@,TBR,"L,1-3",GS-6,,4,6,2,1,1,3,10,0,0,3.12,2.8,23,105,63,15,20,4,6,0,2,0,71,0,0,0,20,0,0,0,0,0,0,1.15,0.186,1.38,0.14%,1.87,28.5,49,1b start a 1,6b 3 out tie,0,0,1,2,0,0,0,0
11,245,52,Jun 3,NYY,,DET,"W,13-0",GS-7,W(5-1),5,7,2,0,0,0,9,0,0,2.78,2.56,23,102,73,17,15,10,4,1,0,0,82,0,0,0,23,0,0,0,0,0,0,0.4,0.239,0.38,0.14%,3.65,36.55,58,1t start tie,7t 3 out a12,0,0,0,0,0,0,0,0
12,246,57,Jun 9,NYY,@,MIN,"W,10-7",GS-3,,5,2.1,8,7,7,2,3,5,0,3.63,3.55,17,70,45,9,7,4,8,2,1,0,14,0,0,0,15,1,0,0,0,0,0,0.75,-0.557,0.66,-0.30%,-6.16,-8.75,-5,1b start a 1,3b -2- 1 out d4,3,3,1,3,0,0,0,3
13,247,61,Jun 14,NYY,,TBR,"W,2-0",GS-6,W(6-1),4,6,5,0,0,1,7,0,0,3.33,3.36,23,92,62,20,10,7,8,1,1,0,68,0,0,0,22,0,0,0,1,0,0,1.4,0.346,1.21,0.18%,3.13,27.9,49,1t start tie,6t 3 out a2,0,0,0,2,1,0,0,0
14,248,67,Jun 20,NYY,@,TBR,"W,4-2",GS-8,,5,7.1,1,1,1,3,12,0,0,3.14,3.15,26,111,71,20,17,5,6,0,1,0,81,0,0,0,23,0,0,0,0,0,0,1.12,0.455,0.6,0.15%,3.32,36.1,59,1b start a 1,8b 1-- 1 out a2,0,0,1,1,0,0,0,0
15,249,72,Jun 25,NYY,,HOU,"L,0-3",GS-7,L(6-2),4,7,4,1,1,2,8,1,0,2.99,3.18,26,106,70,16,14,6,10,2,1,0,71,1,0,0,24,0,0,0,1,0,0,1.07,0.228,0.47,0.06%,2.65,26.15,46,1t start tie,7t 3 out d1,0,0,1,2,0,0,0,0
16,250,78,Jul 2,NYY,@,CLE,"W,13-4",GS-6,W(7-2),6,6,3,2,2,3,6,2,0,2.99,3.43,23,107,63,17,8,7,7,2,3,0,61,0,1,0,20,1,0,0,0,0,0,0.76,0.097,0.27,0.02%,1.16,21.9,40,1b start tie,6b 3 out a6,0,0,1,1,0,0,0,0
17,251,83,Jul 7,NYY,@,BOS,"W,6-5",GS-6,W(8-2),4,6,5,5,5,3,7,2,0,3.26,3.62,25,94,59,19,13,6,9,4,1,0,46,0,0,0,22,1,0,0,1,0,0,0.91,-0.037,0.28,-0.01%,-1.59,16.7,30,1b start tie,6b 3 out a1,0,0,1,2,0,0,0,0
18,252,87,Jul 12,NYY,,CIN,"L,3-4",GS-7,,4,7,4,0,0,1,11,0,0,3.05,3.41,26,113,75,20,16,4,10,5,2,0,79,1,0,0,25,2,0,0,0,0,0,0.98,0.345,0.2,0.04%,3.65,34.75,58,1t start tie,7t 3 out a3,0,0,1,1,0,0,0,0
19,253,92,Jul 17,NYY,,BOS,"W,13-2",GS-7,W(9-2),4,7,4,2,2,0,12,1,0,3.02,3.29,24,103,70,20,18,6,6,4,1,0,73,0,0,0,24,1,0,0,1,0,0,0.43,0.038,0.11,0.01%,1.65,37.35,61,1t start tie,7t 3 out a9,0,0,0,2,0,0,0,0
20,254,96,Jul 23,NYY,@,BAL,"L,3-6",GS-7,L(9-3),5,6,9,4,3,2,6,0,0,3.09,3.23,27,112,80,23,14,7,12,6,1,0,44,2,1,0,25,3,0,0,1,0,0,1.19,-0.112,0.34,-0.02%,-0.17,12.9,31,1b start a 1,7b 1-- 0 out tie,0,0,1,1,1,0,0,0
21,255,101,Jul 29,NYY,,KCR,"W,11-5",GS-6,,5,6,7,5,5,0,9,1,0,3.3,3.19,25,100,71,19,17,6,10,4,1,0,47,0,0,0,25,1,0,0,0,0,0,0.96,-0.344,0.25,-0.05%,-2.18,17.3,30,1t start tie,6t 3 out d2,0,0,0,0,0,0,0,0
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,1,2,2,0,0,3