Date,wRC,wRAA,wOBA,wRC+
4/7/22,2.054421769,1.7,0.728,388
4/9/22,1.054421769,0,0.315,106
4/10/22,0.054421769,-0.3,0.221,42
4/12/22,-0.945578231,-1,0,-100
4/14/22,-0.945578231,-1,0,-100
4/15/22,0.054421769,-0.2,0.252,63
4/16/22,-0.945578231,-1,0,-100
4/17/22,0.054421769,-0.7,0.138,-15
4/19/22,1.054421769,0.5,0.429,184
4/20/22,0.054421769,-0.4,0.172,9
4/21/22,-0.945578231,-1,0,-100
4/22/22,1.054421769,0.9,0.53,253
4/23/22,1.054421769,0.5,0.429,184
4/24/22,1.054421769,0.7,0.536,257
4/25/22,1.054421769,1,0.614,310
4/26/22,0.054421769,-0.3,0.221,42
4/27/22,1.054421769,0.2,0.354,132
4/28/22,2.054421769,1.1,0.663,344
4/29/22,1.054421769,0.7,0.517,244
4/30/22,0.054421769,-0.4,0.172,9
5/2/22,2.054421769,1.6,0.984,563
5/3/22,0.054421769,-0.4,0.172,9
5/4/22,1.054421769,0.4,0.413,173
5/5/22,0.054421769,-0.5,0.177,12
5/6/22,1.054421769,0.1,0.345,126
5/7/22,1.054421769,0.5,0.429,184
5/8/22,2.054421769,1.3,0.642,330
5/10/22,0.054421769,-0.3,0.221,42
5/11/22,2.054421769,1.3,0.708,375
5/12/22,0.054421769,-0.3,0.221,42
5/13/22,2.054421769,1.4,0.738,395
5/14/22,0.054421769,0,0.315,106
5/15/22,3.054421769,2.7,1.148,675
5/17/22,2.054421769,1.5,0.681,356
5/17/22,1.054421769,0.7,0.517,244
5/18/22,0.054421769,-0.5,0.177,12
5/19/22,3.054421769,2.1,0.843,467
5/20/22,1.054421769,0,0.315,106
5/21/22,3.054421769,2.2,0.858,477
5/23/22,1.054421769,0.4,0.414,174
5/24/22,1.054421769,1,0.614,310
5/26/22,2.054421769,1.7,0.728,388
5/27/22,1.054421769,0.7,0.517,244
5/28/22,3.054421769,2.1,0.959,546
5/29/22,0.054421769,-0.3,0.221,42
5/30/22,2.054421769,1.2,0.69,362
5/31/22,1.054421769,0.7,0.487,224
6/1/22,1.054421769,0.8,0.565,277
6/2/22,0.054421769,-0.2,0.252,63
6/3/22,2.054421769,1.5,0.689,362
6/4/22,0.054421769,-0.5,0.177,12
6/4/22,1.054421769,0.1,0.345,126
6/5/22,1.054421769,0.2,0.354,132
6/7/22,1.054421769,0.3,0.39,157
6/8/22,0.054421769,0,0.295,92
6/9/22,0.054421769,-0.3,0.23,48
6/10/22,0.054421769,-0.4,0.172,9
6/11/22,-0.945578231,-1,0,-100
6/13/22,3.054421769,2.7,0.981,561
6/14/22,5.054421769,4,1.319,792
6/14/22,2.054421769,1.4,0.738,395
6/15/22,1.054421769,0.3,0.39,157
6/17/22,0.054421769,-0.5,0.177,12
6/18/22,1.054421769,0.2,0.354,132
6/19/22,0.054421769,0,0.315,106
6/20/22,-0.945578231,-1,0,-100
6/22/22,2.054421769,1.2,0.69,362
6/23/22,2.054421769,1.1,0.66,342
6/24/22,0.054421769,-0.4,0.172,9
6/25/22,1.054421769,0.4,0.442,193
6/26/22,2.054421769,1,0.552,268
6/27/22,4.054421769,3.1,1.274,761
6/28/22,1.054421769,0.3,0.393,160
6/29/22,-0.945578231,-1,0,-100
7/1/22,1.054421769,0.7,0.536,257
7/2/22,2.054421769,1,0.573,282
7/3/22,-0.945578231,-1,0,-100
7/4/22,1.054421769,0,0.315,106
7/5/22,1.054421769,0.3,0.401,165
7/6/22,2.054421769,1.3,0.708,375
7/7/22,1.054421769,0.3,0.39,157
7/8/22,1.054421769,0.4,0.442,193
7/9/22,-0.945578231,-1,0,-100
7/10/22,0.054421769,0.3,0.689,362
7/11/22,-0.945578231,-1,0,-100
7/12/22,0.054421769,-0.5,0.177,12
7/13/22,0.054421769,-0.3,0.221,42
7/14/22,0.054421769,-0.3,0.221,42
7/15/22,1.054421769,0.1,0.345,126
7/16/22,2.054421769,1.1,0.591,294
7/22/22,2.054421769,1.1,0.591,294
7/23/22,2.054421769,1.7,0.728,388
7/24/22,3.054421769,2.3,1.035,598
7/29/22,0.054421769,-0.3,0.221,42
7/30/22,0.054421769,-0.3,0.221,42
7/31/22,-0.945578231,-1.2,0,-100
8/2/22,2.054421769,1.9,0.911,513
8/4/22,1.054421769,0.7,0.491,227
8/4/22,1.054421769,0.7,0.517,244
8/5/22,0.054421769,-0.4,0.172,9
8/6/22,2.054421769,1.8,1.07,622
8/7/22,0.054421769,-0.1,0.276,79
8/9/22,0.054421769,-0.4,0.172,9
8/10/22,1.054421769,0,0.315,106
8/11/22,3.054421769,2.1,0.843,467
8/12/22,1.054421769,0.7,0.517,244
8/13/22,0.054421769,-0.3,0.221,42
8/14/22,1.054421769,0.1,0.345,126
8/16/22,1.054421769,0.7,0.517,244
8/17/22,2.054421769,1.3,0.708,375
8/18/22,2.054421769,1.7,0.851,472
8/19/22,3.054421769,2.4,0.905,509
8/20/22,2.054421769,1.6,0.64,328
8/21/22,1.054421769,0,0.321,110
8/22/22,-0.945578231,-1,0,-100
8/23/22,0.054421769,-0.8,0.147,-8
8/23/22,1.054421769,0.3,0.393,160
8/25/22,4.054421769,3.3,1.142,671
8/26/22,0.054421769,-0.3,0.221,42
8/27/22,2.054421769,1.1,0.596,298
8/28/22,0.054421769,-0.3,0.221,42
8/29/22,-0.945578231,-1,0,-100
8/30/22,0.054421769,-0.4,0.172,9
8/31/22,1.054421769,0.3,0.377,148
9/2/22,0.054421769,-0.4,0.172,9
9/3/22,2.054421769,1.7,0.728,388
9/4/22,0.054421769,0,0.315,106
9/5/22,0.054421769,-0.4,0.172,9
9/6/22,1.054421769,0.3,0.393,160
9/7/22,2.054421769,1.2,0.69,362
9/8/22,0.054421769,-0.3,0.221,42
9/9/22,0.054421769,0,0.315,106
9/10/22,0.054421769,-0.7,0.138,-15
9/13/22,-0.945578231,-1,0,-100
9/14/22,1.054421769,1,0.614,310
9/15/22,1.054421769,0.6,0.487,224
9/16/22,1.054421769,1,0.63,322
9/17/22,-0.945578231,-1.2,0,-100
9/17/22,1.054421769,0.3,0.393,160
9/20/22,0.054421769,0,0.315,106
9/21/22,0.054421769,-0.4,0.172,9
9/22/22,1.054421769,0.4,0.442,193
9/23/22,0.054421769,-0.4,0.18,14
9/24/22,0.054421769,-0.3,0.221,42
9/25/22,-0.945578231,-1,0,-100
9/27/22,1.054421769,0.5,0.429,184
9/28/22,0.054421769,0,0.295,92