Year,Age,Tm,Pos,Lg,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rdrs,Rtot/yr,Rdrs/yr,RF/9,RF/G,lgFld%,lgRF9,lgRFG,PB,WP,SB,CS,CS%,lgCS%,PO,Awards
2018,25,TEX,C,AL,3,1,1,17,15,15,0,0,0,1,0,0,0,0,7.94,5,0.994,9.05,8.97,0,1,0,0,,,0,
2019,26,TEX,C,AL,40,32,28,297.2,273,259,13,1,1,0.996,2,0,8,0,8.22,6.8,0.994,9.32,9.25,1,14,9,7,44%,27%,4,
2020,27,TEX,C,AL,21,17,15,151,157,153,3,1,0,0.994,-1,0,-8,0,9.3,7.43,0.993,9.51,9.15,0,8,10,1,9%,26%,1,
2020,27,TEX,DH,AL,3,3,,,,,,,,,,,,,,,,,,,,,,,,,
2020,27,TEX,1B,AL,1,0,0,0.1,1,1,0,0,0,1,0,0,0,0,27,1,0.99,8.1,7.9,,,,,,,,
2021,28,TEX,C,AL,88,81,76,713,677,644,27,6,3,0.991,-4,8,-7,13,8.47,7.63,0.994,9.35,9.13,4,33,40,7,15%,23%,1,
2022,29,NYY,C,AL,73,56,49,518,558,532,23,3,1,0.995,5,15,12,35,9.64,7.6,0.994,8.9,8.77,2,15,17,8,32%,24%,3,AS
5 Seasons,,,C,,225,187,169,1696.2,1680,1603,66,11,5,0.993,2,23,2,16,8.85,7.42,0.994,9.22,9.03,7,71,76,23,23%,24%,9,
1 Season,,,DH,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,
1 Season,,,1B,,1,0,0,0.1,1,1,0,0,0,1,0,0,0,0,27,1,0.99,8.1,7.9,,,,,,,,
5 Seasons,,,TOT,,226,187,169,1697,1681,1604,66,11,5,0.993,2,23,2,16,8.86,7.39,0.994,9.22,9.03,7,71,76,23,23%,24%,9,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,