Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2018,25,TEX,AL,3,8,-1,0,0,0,0,-1,-0.1,0,-1,-0.1,0.467,0.499,-0.1,0,-1,,/2H,
2019,26,TEX,AL,40,126,-5,-1,-1,0,2,-5,-0.4,5,0,0,0.489,0.497,0,0.3,0,,2/H,
2020,27,TEX,AL,24,83,-1,0,1,0,1,1,0.1,3,4,0.4,0.504,0.501,0.4,0.1,4,,2/D3H,
2021,28,TEX,AL,89,302,-14,-2,-2,3,5,-9,-0.9,10,1,0.1,0.489,0.494,-0.2,0.9,-2,,2/H,
2022,29,NYY,AL,74,213,3,1,0,7,4,15,1.6,7,23,2.3,0.522,0.51,1.6,1.2,15,,*2/H,AS
5 Seasons,,,,230,732,-17,-2,-2,10,13,2,0.3,25,27,2.8,0.501,0.501,1.7,2.4,17,,,
162 Game Avg.,,,,162,516,-12,-1,-1,7,9,1,0.2,18,19,2,0.501,0.501,1.2,1.7,12,,,
TEX (4 yrs),,,,156,519,-20,-3,-2,3,9,-14,-1.3,18,4,0.5,0.491,0.496,0.1,1.3,1,,,
NYY (1 yr),,,,74,213,3,1,0,7,4,15,1.6,7,23,2.3,0.522,0.51,1.6,1.2,15,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,