Date,Team,Opp,GS,GStot,W,L,SV,HLD,IP,TBF,H,R,ER,HR,BB,SO,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,EV,ERA,FIP,xFIP,GSv2
8/22/22,NYM,@NYY,1,416,0,1,0,0,6.2,29,7,4,4,1,1,3,4.05,1.35,1.35,0.261,65.80%,21.70%,7.10%,90.8,5.4,5.06,6.2,48
8/17/22,NYM,@ATL,1,415,1,0,0,0,6.1,25,3,4,4,0,3,8,11.37,4.26,0,0.231,42.90%,46.20%,0.00%,85.8,5.68,2.48,4.1,61
8/12/22,NYM,PHI,1,414,0,0,0,0,7,30,9,1,1,0,0,6,7.71,0,0,0.391,90.00%,34.80%,0.00%,85,1.29,1.83,4.55,66
8/6/22,NYM,ATL,1,413,1,0,0,0,7,25,4,0,0,0,0,11,14.14,0,0,0.286,100.00%,28.60%,0.00%,85,0,-0.03,1.65,84
8/1/22,NYM,@WSN,1,412,1,0,0,0,6.2,28,6,3,2,1,2,5,6.75,2.7,1.35,0.25,75.80%,30.00%,8.30%,89.8,2.7,4.46,5.16,53
7/27/22,NYM,NYY,1,411,0,0,0,0,7,29,5,0,0,0,2,6,7.71,2.57,0,0.25,100.00%,10.00%,0.00%,91.9,0,2.69,5.2,73
7/22/22,NYM,SDP,1,410,0,1,0,0,6,25,5,2,2,1,1,8,12,1.5,1.5,0.286,89.30%,38.50%,20.00%,84.7,3,3.61,2.67,59
7/16/22,NYM,@CHC,1,409,0,0,0,0,6.1,27,8,2,2,0,1,11,15.63,1.42,0,0.533,77.80%,6.70%,0.00%,89.9,2.84,0.11,1.97,64
7/11/22,NYM,@ATL,1,408,1,0,0,0,7,24,3,1,1,1,0,9,11.57,0,1.29,0.143,100.00%,13.30%,10.00%,96.4,1.29,2.4,2.64,75
7/5/22,NYM,@CIN,1,407,0,0,0,0,6,21,2,0,0,0,0,11,16.5,0,0,0.222,100.00%,33.30%,0.00%,84.9,0,-0.05,0.93,82
5/18/22,NYM,STL,1,406,1,0,0,0,5.2,24,7,2,1,0,0,4,6.35,0,0,0.368,75.00%,26.30%,0.00%,86.5,1.59,2.23,4.56,57
5/13/22,NYM,SEA,1,405,0,0,0,0,7,26,3,1,1,0,2,6,7.71,2.57,0,0.188,85.70%,56.30%,0.00%,86.7,1.29,3.11,4.16,74
5/8/22,NYM,@PHI,1,404,0,1,0,0,6,26,10,3,3,1,0,7,10.5,0,1.5,0.5,81.40%,21.10%,9.10%,89.1,4.5,2.95,3.47,47
5/1/22,NYM,PHI,1,403,1,0,0,0,6,23,5,4,4,3,1,9,13.5,1.5,4.5,0.2,100.00%,30.80%,60.00%,91.8,6,7.11,1.84,42
4/25/22,NYM,@STL,1,402,0,0,0,0,7,25,2,0,0,0,1,10,12.86,1.29,0,0.143,100.00%,42.90%,0.00%,80.3,0,0.69,2.15,85
4/19/22,NYM,SFG,1,401,1,0,0,0,7,25,1,1,1,0,3,10,12.86,3.86,0,0.083,75.00%,25.00%,0.00%,85.5,1.29,1.54,3.22,80
4/13/22,NYM,@PHI,1,400,1,0,0,0,5,22,5,1,1,0,3,7,12.6,5.4,0,0.417,87.50%,33.30%,0.00%,85.6,1.8,2.11,3.88,57
4/8/22,NYM,@WSN,1,399,1,0,0,0,6,22,3,3,3,1,1,6,9,1.5,1.5,0.154,55.60%,38.50%,25.00%,92.3,4.5,4.28,3.09,58
9/29/21,LAD,SDP,1,398,0,0,0,0,5.1,27,11,6,5,2,0,4,6.75,0,3.38,0.429,61.00%,26.10%,22.20%,91.7,8.44,6.55,4.65,24
9/23/21,LAD,@COL,1,397,0,0,0,0,5,22,6,5,5,1,1,6,10.8,1.8,1.8,0.357,35.70%,40.00%,16.70%,83.4,9,3.97,3.49,41
9/18/21,LAD,@CIN,1,396,1,0,0,0,7,25,2,0,0,0,2,7,9,2.57,0,0.125,100.00%,25.00%,0.00%,79.5,0,2.03,4.8,81
9/12/21,LAD,SDP,1,395,1,0,0,0,8,25,1,0,0,0,0,9,10.13,0,0,0.063,100.00%,31.30%,0.00%,85.4,0,0.92,2.9,95
9/6/21,LAD,@STL,1,394,1,0,0,0,8,30,6,1,0,0,0,13,14.63,0,0,0.353,83.30%,41.20%,0.00%,89.8,0,-0.08,0.58,86
9/1/21,LAD,ATL,1,393,0,0,0,0,6,21,3,0,0,0,0,9,13.5,0,0,0.25,100.00%,33.30%,0.00%,87.9,0,0.17,2.23,79
8/26/21,LAD,@SDP,1,392,1,0,0,0,7.2,26,2,0,0,0,1,10,11.74,1.17,0,0.143,100.00%,50.00%,0.00%,94.8,0,1.34,2.95,90
8/21/21,LAD,NYM,1,391,1,0,0,0,5,23,5,1,1,1,1,8,14.4,1.8,1.8,0.333,100.00%,30.80%,16.70%,85.4,1.8,3.77,3.29,57
8/15/21,LAD,@NYM,1,390,1,0,0,0,6,27,4,2,2,0,2,7,10.5,3,0,0.222,66.70%,52.90%,0.00%,79.4,3,1.84,3.01,65
8/10/21,LAD,@PHI,1,389,0,0,0,0,3.1,12,3,0,0,0,0,6,16.2,0,0,0.5,100.00%,33.30%,0.00%,88.8,0,-0.43,0.63,60
8/4/21,LAD,HOU,1,388,1,0,0,0,7,27,5,2,2,1,1,10,12.86,1.29,1.29,0.267,87.00%,25.00%,11.10%,82.1,2.57,2.6,3.01,68
7/29/21,WSN,@PHI,1,387,1,0,0,0,6,23,3,1,1,1,3,5,7.5,4.5,1.5,0.154,100.00%,42.90%,20.00%,89.7,1.5,5.67,4.97,60
7/18/21,WSN,SDP,1,386,0,0,0,0,7,28,4,4,4,2,3,8,10.29,3.86,2.57,0.133,71.40%,41.20%,22.20%,89.7,5.14,5.88,4.44,52
7/8/21,WSN,@SDP,1,385,0,0,0,0,3.2,19,5,7,7,2,1,7,17.18,2.45,4.91,0.429,19.20%,33.30%,40.00%,93.4,17.18,8.9,4.21,24
7/2/21,WSN,LAD,1,384,0,0,0,0,6,22,4,1,1,1,1,8,12,1.5,1.5,0.25,100.00%,23.10%,11.10%,91.6,1.5,3.17,3.65,65
6/27/21,WSN,@MIA,1,383,1,0,0,0,6,26,5,1,1,0,2,7,10.5,3,0,0.313,87.50%,53.30%,0.00%,79.7,1.5,2.34,3.81,66
6/22/21,WSN,@PHI,1,382,1,0,0,0,5,21,2,1,1,1,3,8,14.4,5.4,1.8,0.111,100.00%,30.00%,16.70%,88.6,1.8,4.37,3.89,59
6/11/21,WSN,SFG,1,381,0,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0,0,100.00%,0.00%,0.00%,90.5,0,3.17,8.46,42
6/4/21,WSN,@PHI,1,380,1,0,0,0,7.2,28,5,1,1,0,1,9,10.57,1.17,0,0.294,85.70%,43.80%,0.00%,87.7,1.17,1.6,3.45,80
5/30/21,WSN,MIL,1,379,0,1,0,0,6,21,2,2,2,1,1,10,15,1.5,1.5,0.111,62.50%,40.00%,16.70%,89.8,3,2.5,2.1,68
5/25/21,WSN,CIN,1,378,0,1,0,0,7,26,5,2,2,2,1,9,11.57,1.29,2.57,0.231,100.00%,26.70%,25.00%,91.6,2.57,5.17,3.47,61
5/19/21,WSN,@CHC,1,377,1,0,0,0,5,23,5,2,2,0,4,8,14.4,7.2,0,0.455,77.80%,18.20%,0.00%,89.1,3.6,2.37,3.78,54
5/14/21,WSN,@ARI,1,376,1,0,0,0,5,18,2,0,0,0,1,7,12.6,1.8,0,0.2,100.00%,30.00%,0.00%,87.9,0,0.97,3.09,71
5/8/21,WSN,@NYY,1,375,0,0,0,0,7.1,25,2,1,1,1,1,14,17.18,1.23,1.23,0.111,100.00%,30.00%,16.70%,87.9,1.23,1.53,1.2,83
5/2/21,WSN,MIA,1,374,1,0,0,0,9,31,5,1,1,1,0,9,9,0,1,0.2,100.00%,60.00%,20.00%,85.4,1,2.95,2.48,84
4/27/21,WSN,@TOR,1,373,0,1,0,0,5,24,8,7,5,2,2,5,9,3.6,3.6,0.4,41.70%,31.30%,25.00%,99.1,9,7.57,5.19,22
4/21/21,WSN,STL,1,372,1,0,0,0,6,23,4,0,0,0,1,9,13.5,1.5,0,0.333,100.00%,16.70%,0.00%,84.6,0,1.17,2.64,75
4/16/21,WSN,ARI,1,371,0,0,0,0,7,25,2,0,0,0,2,10,12.86,2.57,0,0.154,100.00%,7.70%,0.00%,89.5,0,1.17,3.44,84
4/11/21,WSN,@LAD,1,370,0,1,0,0,6,21,3,1,1,0,1,5,7.5,1.5,0,0.2,75.00%,20.00%,0.00%,88.8,1.5,2,4.36,70
4/6/21,WSN,ATL,1,369,0,0,0,0,6,23,5,4,4,4,0,9,13.5,0,6,0.1,100.00%,14.30%,40.00%,91.2,6,8.84,3.11,39
9/26/20,WSN,NYM,1,368,1,0,0,0,6,26,6,3,3,2,2,7,10.5,3,3,0.267,96.20%,41.20%,33.30%,95.7,4.5,6.19,3.79,47
9/20/20,WSN,@MIA,1,367,0,1,0,0,5.2,26,5,2,0,0,2,6,9.53,3.18,0,0.278,71.40%,44.40%,0.00%,82.8,0,2.13,4.51,61
9/13/20,WSN,ATL,1,366,0,1,0,0,5.1,27,9,6,6,2,2,10,16.88,3.38,3.38,0.538,61.00%,0.00%,33.30%,94.4,10.13,5.44,2.74,31
9/7/20,WSN,TBR,1,365,1,0,0,0,7,28,6,0,0,0,1,8,10.29,1.29,0,0.316,100.00%,21.10%,0.00%,87.2,0,1.33,4.36,77
9/2/20,WSN,@PHI,1,364,0,1,0,0,6,28,7,3,3,1,3,6,9,4.5,1.5,0.333,81.40%,31.60%,12.50%,86.1,4.5,4.86,5.26,48
8/28/20,WSN,@BOS,1,363,1,0,0,0,6,23,6,1,1,0,0,11,16.5,0,0,0.5,83.30%,25.00%,0.00%,88.9,1.5,-0.48,0.81,73
8/22/20,WSN,MIA,1,362,0,0,0,0,4.2,24,7,4,4,1,2,5,9.64,3.86,1.93,0.4,69.80%,37.50%,25.00%,84.9,7.71,5.76,4.63,38
8/16/20,WSN,@BAL,1,361,1,0,0,0,7,30,8,5,5,3,1,10,12.86,1.29,3.86,0.313,83.30%,11.80%,25.00%,90,6.43,6.33,4.07,42
8/11/20,WSN,@NYM,1,360,1,0,0,0,6,25,6,1,1,0,2,7,10.5,3,0,0.375,87.50%,37.50%,0.00%,90.2,1.5,1.86,3.79,65
8/5/20,WSN,NYM,1,359,0,0,0,0,1,5,1,1,1,0,1,1,9,9,0,0.333,50.00%,33.30%,0.00%,78.4,9,4.19,6.12,41
7/29/20,WSN,@TOR,1,358,0,0,0,0,7.1,27,3,0,0,0,3,10,12.27,3.68,0,0.214,100.00%,71.40%,0.00%,86.8,0,1.69,2.48,83
7/23/20,WSN,NYY,1,357,0,1,0,0,5.1,26,6,4,4,1,4,11,18.56,6.75,1.69,0.5,69.80%,50.00%,50.00%,89.2,6.75,3.75,2.04,46
9/24/19,WSN,PHI,1,356,1,0,0,0,6,24,5,4,4,2,1,10,15,1.5,3,0.273,62.50%,46.20%,40.00%,83.7,6,4.71,2.04,50
9/18/19,WSN,@STL,1,355,0,1,0,0,6.2,27,7,5,5,2,0,11,14.85,0,2.7,0.357,47.60%,37.50%,33.30%,81.2,6.75,3.81,1.7,50
9/13/19,WSN,ATL,1,354,0,1,0,0,5,24,7,3,3,0,2,6,10.8,3.6,0,0.438,66.70%,20.00%,0.00%,94.3,5.4,2.01,4.4,49
9/8/19,WSN,@ATL,1,353,1,0,0,0,6,22,2,1,1,1,2,9,13.5,3,1.5,0.1,100.00%,27.30%,20.00%,91.8,1.5,3.38,2.87,68
9/3/19,WSN,NYM,1,352,0,0,0,0,6,24,5,4,4,1,1,7,10.5,1.5,1.5,0.267,43.50%,43.80%,16.70%,90.9,6,3.55,3.37,53
8/28/19,WSN,BAL,1,351,0,0,0,0,4.1,20,6,2,2,1,1,8,16.62,2.08,2.08,0.5,89.30%,54.50%,25.00%,88.4,4.15,3.21,2.05,48
8/22/19,WSN,@PIT,1,350,0,0,0,0,4,17,4,1,1,1,1,3,6.75,2.25,2.25,0.25,100.00%,38.50%,14.30%,84.1,2.25,5.71,5.95,48
7/25/19,WSN,COL,1,349,0,0,0,0,5,20,4,3,3,1,2,8,14.4,3.6,1.8,0.333,65.20%,30.00%,25.00%,85,5.4,3.81,2.81,51
7/6/19,WSN,KCR,1,348,1,0,0,0,7,26,4,0,0,0,1,11,14.14,1.29,0,0.286,100.00%,35.70%,0.00%,90.8,0,0.5,1.64,83
6/30/19,WSN,@DET,1,347,1,0,0,0,8,28,4,1,1,1,0,14,15.75,0,1.13,0.231,100.00%,35.70%,25.00%,84.9,1.13,1.34,0.71,85
6/25/19,WSN,@MIA,1,346,1,0,0,0,8,29,5,1,1,0,0,10,11.25,0,0,0.278,83.30%,55.60%,0.00%,82.2,1.13,1.09,2.58,85
6/19/19,WSN,PHI,1,345,1,0,0,0,7,27,4,0,0,0,2,10,12.86,2.57,0,0.267,100.00%,33.30%,0.00%,75.8,0,1.21,3.77,80
6/14/19,WSN,ARI,1,344,1,0,0,0,7,27,3,2,2,2,1,10,12.86,1.29,2.57,0.077,100.00%,26.70%,22.20%,93.3,2.57,4.93,3.77,66
6/8/19,WSN,@SDP,1,343,1,0,0,0,7,28,6,0,0,0,1,9,11.57,1.29,0,0.333,100.00%,50.00%,0.00%,90.6,0,1.07,2.49,77
6/2/19,WSN,@CIN,1,342,1,0,0,0,8,29,3,1,1,0,1,15,16.88,1.13,0,0.25,80.00%,8.30%,0.00%,89.2,1.13,0.21,2.2,92
5/27/19,WSN,MIA,1,341,0,0,0,0,6,25,7,1,1,0,1,6,9,1.5,0,0.389,87.50%,55.60%,0.00%,90.5,1.5,1.71,3.7,63
5/22/19,WSN,@NYM,1,340,0,0,0,0,6,25,4,0,0,0,2,9,13.5,3,0,0.286,100.00%,53.80%,0.00%,85.9,0,1.21,2.54,73
5/17/19,WSN,CHC,1,339,0,1,0,0,6,26,6,3,3,1,4,8,12,6,1.5,0.385,81.40%,35.70%,16.70%,85.9,4.5,4.71,4.54,49
5/11/19,WSN,@LAD,1,338,1,0,0,0,7,29,5,2,2,1,2,7,9,2.57,1.29,0.235,92.10%,33.30%,14.30%,88.2,2.57,4.79,4.92,63
5/6/19,WSN,@MIL,1,337,0,0,0,0,6,27,6,2,1,0,1,10,15,1.5,0,0.375,71.40%,53.30%,0.00%,85.6,1.5,0.38,1.71,66
5/1/19,WSN,STL,1,336,0,1,0,0,7,30,8,3,3,0,2,8,10.29,2.57,0,0.4,70.00%,35.00%,0.00%,89.7,3.86,1.79,4.34,61
4/26/19,WSN,SDP,1,335,0,0,0,0,7,24,4,2,2,1,0,10,12.86,0,1.29,0.231,76.90%,50.00%,20.00%,92.1,2.57,2.21,1.78,72
4/20/19,WSN,@MIA,1,334,0,1,0,0,5.1,27,11,7,6,1,0,9,15.19,0,1.69,0.588,41.70%,33.30%,20.00%,88.1,10.13,2.28,1.7,32
4/14/19,WSN,PIT,1,333,0,0,0,0,8,30,7,3,3,0,1,7,7.88,1.13,0,0.318,62.50%,63.60%,0.00%,86.9,3.38,1.84,3.33,70
4/7/19,WSN,@NYM,1,332,1,0,0,0,6.1,27,8,4,4,0,0,7,9.95,0,0,0.444,60.00%,33.30%,0.00%,94,5.68,1.95,3.52,57
4/2/19,WSN,PHI,1,331,0,1,0,0,5,23,7,2,1,1,1,9,16.2,1.8,1.8,0.5,90.90%,38.50%,20.00%,85.9,1.8,2.81,2.2,51
3/28/19,WSN,NYM,1,330,0,1,0,0,7.2,28,2,2,2,1,3,12,14.09,3.52,1.17,0.083,83.30%,53.80%,20.00%,83.5,2.35,2.95,2.55,76
9/25/18,WSN,MIA,1,329,1,0,0,0,7,27,5,1,1,0,0,10,12.86,0,0,0.313,83.30%,13.30%,0.00%,85,1.29,0.73,3.09,77
9/20/18,WSN,NYM,1,328,0,0,0,0,7,28,5,3,3,2,2,13,16.71,2.57,2.57,0.273,95.20%,30.80%,28.60%,89.4,3.86,4.02,1.96,58
9/14/18,WSN,@ATL,1,327,0,1,0,0,4,23,7,6,6,0,3,6,13.5,6.75,0,0.538,45.50%,7.70%,0.00%,86.1,13.5,3.16,6.05,30
9/8/18,WSN,CHC,1,326,1,0,0,0,9,36,9,3,3,0,0,11,11,0,0,0.375,70.00%,45.80%,0.00%,86.3,3,1.05,2.52,76
9/3/18,WSN,STL,1,325,0,0,0,0,7,26,4,3,3,1,1,11,14.14,1.29,1.29,0.231,55.60%,21.40%,12.50%,87.8,3.86,2.3,2.33,66
8/28/18,WSN,@PHI,1,324,0,0,0,0,5,20,4,3,3,2,0,5,9,0,3.6,0.167,90.90%,28.60%,22.20%,88,5.4,6.96,4.73,44
8/23/18,WSN,PHI,1,323,0,1,0,0,7,27,2,2,2,1,4,10,12.86,5.14,1.29,0.083,87.00%,25.00%,14.30%,85.9,2.57,3.88,3.67,66
8/17/18,WSN,MIA,1,322,1,0,0,0,6,22,5,0,0,0,1,7,10.5,1.5,0,0.357,100.00%,35.70%,0.00%,85.4,0,1.33,2.98,69
8/12/18,WSN,@CHC,1,321,0,0,0,0,7,25,3,0,0,0,1,11,14.14,1.29,0,0.231,100.00%,38.50%,0.00%,88.6,0,0.45,1.63,83
8/7/18,WSN,ATL,1,320,0,0,0,0,7,26,4,1,1,1,1,6,7.71,1.29,1.29,0.167,100.00%,36.80%,14.30%,83.8,1.29,3.73,3.53,67
8/2/18,WSN,CIN,1,319,1,0,0,0,6,24,4,2,2,1,2,10,15,3,1.5,0.273,87.00%,41.70%,20.00%,87.9,3,2.99,2.2,60
7/27/18,WSN,@MIA,1,318,1,0,0,0,8,31,3,1,0,0,1,11,12.38,1.13,0,0.167,80.00%,50.00%,0.00%,81,0,1.16,1.99,86
7/22/18,WSN,ATL,1,317,1,0,0,0,6,24,8,2,2,0,1,7,10.5,1.5,0,0.5,77.80%,31.30%,0.00%,85.6,3,1.33,2.98,57
7/12/18,WSN,@NYM,1,316,1,0,0,0,7,27,5,3,3,2,2,5,6.43,2.57,2.57,0.167,95.20%,25.00%,15.40%,81.2,3.86,6.3,5.66,50
7/7/18,WSN,MIA,1,315,1,0,0,0,7,28,7,4,4,3,2,3,3.86,2.57,3.86,0.2,100.00%,47.80%,27.30%,82.2,5.14,8.73,5.76,35
7/2/18,WSN,BOS,1,314,0,1,0,0,6,27,4,3,3,0,3,9,13.5,4.5,0,0.308,66.70%,8.30%,0.00%,92.6,4.5,2.66,4.86,60
6/26/18,WSN,@TBR,1,313,0,1,0,0,7,28,4,1,1,0,3,4,5.14,3.86,0,0.19,85.70%,40.00%,0.00%,82.7,1.29,3.3,5.43,67
6/21/18,WSN,BAL,1,312,0,0,0,0,7,27,5,2,2,2,1,9,11.57,1.29,2.57,0.2,100.00%,35.30%,20.00%,89.6,2.57,4.73,3.38,59
6/16/18,WSN,@TOR,1,311,0,1,0,0,6,24,4,2,2,1,1,10,15,1.5,1.5,0.273,87.00%,41.70%,25.00%,84.5,3,2.99,1.93,62
6/10/18,WSN,SFG,1,310,0,1,0,0,7,28,4,2,2,1,3,9,11.57,3.86,1.29,0.2,89.30%,43.80%,12.50%,86.4,2.57,3.73,3.76,63
6/5/18,WSN,TBR,1,309,1,0,0,0,8,28,5,2,2,0,0,13,14.63,0,0,0.333,60.00%,46.70%,0.00%,85,2.25,-0.09,0.53,83
5/30/18,WSN,@BAL,1,308,1,0,0,0,8,27,2,0,0,0,1,12,13.5,1.13,0,0.143,100.00%,35.70%,0.00%,91.7,0,0.54,1.36,92
5/25/18,WSN,@MIA,1,307,1,0,0,0,6,29,7,4,4,1,2,4,6,3,1.5,0.286,69.80%,31.80%,8.30%,83.7,6,5.49,6.63,42
5/19/18,WSN,LAD,1,306,0,0,0,0,7,29,5,2,2,1,3,13,16.71,3.86,1.29,0.333,90.90%,53.80%,16.70%,90.8,2.57,2.59,2.15,65
5/11/18,WSN,@ARI,1,305,1,0,0,0,7,25,4,1,1,1,0,11,14.14,0,1.29,0.231,100.00%,8.30%,14.30%,92.2,1.29,1.88,1.67,74
5/6/18,WSN,PHI,1,304,0,0,0,0,6.1,26,5,1,1,0,2,15,21.32,2.84,0,0.625,87.50%,12.50%,0.00%,89,1.42,-0.15,0.37,74
5/1/18,WSN,PIT,1,303,1,0,0,0,6.1,24,3,2,2,1,2,8,11.37,2.84,1.42,0.154,83.30%,28.60%,14.30%,87.3,2.84,3.63,3.41,62
4/25/18,WSN,@SFG,1,302,1,0,0,0,6,25,5,2,2,0,2,10,15,3,0,0.385,71.40%,30.80%,0.00%,87.6,3,0.83,2.48,64
4/20/18,WSN,@LAD,1,301,1,0,0,0,6,26,4,1,1,0,3,9,13.5,4.5,0,0.333,88.90%,41.70%,0.00%,93.6,1.5,2.66,4.31,66
4/14/18,WSN,COL,1,300,1,0,0,0,7,23,1,2,2,1,1,11,14.14,1.29,1.29,0,0.00%,40.00%,16.70%,81.6,2.57,2.3,1.86,75
4/9/18,WSN,ATL,1,299,1,0,0,0,9,28,2,0,0,0,0,10,10,0,0,0.111,100.00%,50.00%,0.00%,87,0,0.94,2.41,98
4/4/18,WSN,@ATL,1,298,0,1,0,0,5,24,6,5,2,1,2,7,12.6,3.6,1.8,0.357,45.50%,20.00%,9.10%,89.3,3.6,4.16,5.19,38
3/30/18,WSN,@CIN,1,297,1,0,0,0,6,24,5,0,0,0,1,10,15,1.5,0,0.385,100.00%,46.20%,0.00%,91.9,0,0.33,1.98,72
9/30/17,WSN,PIT,1,296,0,0,0,0,3.1,12,1,0,0,0,1,5,13.5,2.7,0,0.167,100.00%,16.70%,0.00%,87.1,0,1.06,3.19,61
9/24/17,WSN,@NYM,1,295,1,0,0,0,6,22,3,1,1,1,1,10,15,1.5,1.5,0.2,100.00%,27.30%,14.30%,89.9,1.5,2.49,2.4,69
9/19/17,WSN,@ATL,1,294,1,0,0,0,7,27,5,2,2,0,1,7,9,1.29,0,0.263,66.70%,33.30%,0.00%,84.4,2.57,1.59,3.62,71
9/13/17,WSN,ATL,1,293,0,1,0,0,6,30,7,7,7,0,6,7,10.5,9,0,0.412,46.20%,29.40%,0.00%,87.6,10.5,3.82,6.49,36
9/8/17,WSN,PHI,1,292,1,0,0,0,6,27,6,4,4,1,3,7,10.5,4.5,1.5,0.333,69.80%,26.70%,14.30%,85.1,6,4.99,4.9,47
9/2/17,WSN,@MIL,1,291,0,0,0,0,5,19,2,1,1,0,2,2,3.6,3.6,0,0.133,75.00%,28.60%,0.00%,80.1,1.8,3.56,5.34,61
8/28/17,WSN,MIA,1,290,1,0,0,0,7,27,5,1,1,1,2,10,12.86,2.57,1.29,0.308,100.00%,46.20%,20.00%,87.7,1.29,3.44,2.86,69
8/13/17,WSN,SFG,1,289,0,0,0,0,7,25,5,2,2,1,1,10,12.86,1.29,1.29,0.308,87.00%,35.70%,14.30%,87.7,2.57,2.59,2.51,68
8/7/17,WSN,MIA,1,288,0,0,0,0,7,28,5,2,2,1,2,9,11.57,2.57,1.29,0.25,89.30%,52.90%,14.30%,86.9,2.57,3.3,3.22,65
8/1/17,WSN,@MIA,1,287,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,100.00%,66.70%,0.00%,88.7,0,3.16,4.94,46
7/27/17,WSN,MIL,1,286,1,0,0,0,6,23,3,1,1,1,3,9,13.5,4.5,1.5,0.2,100.00%,36.40%,16.70%,88.3,1.5,3.82,3.44,64
7/21/17,WSN,@ARI,1,285,0,0,0,0,5,25,8,5,5,3,2,9,16.2,3.6,5.4,0.455,86.20%,28.60%,100.00%,94.6,9,8.56,1.82,26
7/15/17,WSN,@CIN,1,284,1,0,0,0,6,25,3,0,0,0,4,10,15,6,0,0.273,100.00%,9.10%,0.00%,85.6,0,1.82,3.9,72
7/7/17,WSN,ATL,1,283,0,0,0,0,7.2,29,6,4,4,1,1,10,11.74,1.17,1.17,0.294,53.60%,50.00%,20.00%,89,4.7,2.64,2.1,64
7/2/17,WSN,@STL,1,282,1,0,0,0,7,26,2,0,0,0,2,12,15.43,2.57,0,0.167,100.00%,58.30%,0.00%,82.7,0,0.59,1.86,86
6/27/17,WSN,CHC,1,281,1,0,0,0,6,21,2,1,1,0,0,6,9,0,0,0.143,66.70%,7.10%,0.00%,81.2,1.5,1.66,5.22,75
6/21/17,WSN,@MIA,1,280,0,1,0,0,8,29,2,2,0,0,1,11,12.38,1.13,0,0.133,60.00%,73.30%,0.00%,80.1,0,1.53,2.2,87
