Date,Team,Opp,GS,GStot,W,L,SV,HLD,IP,TBF,H,R,ER,HR,BB,SO,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,EV,ERA,FIP,xFIP,GSv2
6/16/17,WSN,@NYM,1,279,1,0,0,0,8,29,4,1,1,1,2,10,11.25,2.25,1.13,0.214,100.00%,26.70%,11.10%,88.8,1.13,3.78,4.16,77
6/11/17,WSN,TEX,1,278,0,1,0,0,7.1,27,3,3,2,1,1,10,12.27,1.23,1.23,0.133,38.50%,56.30%,25.00%,83.5,2.45,2.61,1.81,71
6/6/17,WSN,@LAD,1,277,1,0,0,0,7,28,3,1,0,0,2,14,18,2.57,0,0.25,80.00%,50.00%,0.00%,85.2,0,0.01,1.03,83
5/31/17,WSN,@SFG,1,276,1,0,0,0,9,31,5,1,1,0,0,11,11,0,0,0.25,80.00%,31.60%,0.00%,86.7,1,0.71,2.69,92
5/26/17,WSN,SDP,1,275,1,0,0,0,8.2,31,3,1,1,1,2,13,13.5,2.08,1.04,0.143,100.00%,50.00%,16.70%,79,1.04,2.7,2.43,86
5/20/17,WSN,@ATL,1,274,0,1,0,0,5,21,4,3,3,2,3,6,10.8,5.4,3.6,0.2,95.20%,33.30%,28.60%,89.7,5.4,7.76,5.05,41
5/14/17,WSN,PHI,1,273,0,0,0,0,6,27,9,3,3,0,0,8,12,0,0,0.5,70.00%,44.40%,0.00%,84.2,4.5,0.99,2.47,57
5/9/17,WSN,@BAL,1,272,0,0,0,0,8,30,4,2,2,2,2,11,12.38,2.25,2.25,0.133,100.00%,23.50%,25.00%,92.9,2.25,4.41,2.94,69
5/4/17,WSN,ARI,1,271,1,0,0,0,7,26,2,1,1,1,2,11,14.14,2.57,1.29,0.091,100.00%,41.70%,14.30%,86.6,1.29,3.16,3.08,76
4/28/17,WSN,NYM,1,270,0,1,0,0,6,27,9,5,5,2,1,7,10.5,1.5,3,0.412,69.40%,22.20%,16.70%,87.5,7.5,5.66,4.88,36
4/23/17,WSN,@NYM,1,269,1,0,0,0,8,29,5,3,3,2,1,9,10.13,1.13,2.25,0.176,93.80%,31.60%,20.00%,87.7,3.38,4.53,3.51,64
4/18/17,WSN,@ATL,1,268,1,0,0,0,7,25,2,0,0,0,3,7,9,3.86,0,0.133,100.00%,50.00%,0.00%,86.6,0,2.44,3.71,79
4/12/17,WSN,STL,1,267,0,1,0,0,6,26,4,3,1,0,2,10,15,3,0,0.308,57.10%,30.80%,0.00%,89.2,1.5,1.32,3.4,65
4/7/17,WSN,@PHI,1,266,1,0,0,0,6.2,25,4,2,2,0,2,7,9.45,2.7,0,0.25,66.70%,25.00%,0.00%,88.9,2.7,1.96,4.36,69
10/2/16,WSN,MIA,1,265,1,0,0,0,5,25,9,5,5,2,2,7,12.6,3.6,3.6,0.5,73.20%,33.30%,50.00%,98.6,9,6.75,2.88,27
9/27/16,WSN,ARI,1,264,1,0,0,0,6,26,6,2,2,1,2,10,15,3,1.5,0.385,90.90%,15.40%,20.00%,91,3,2.98,2.2,57
9/21/16,WSN,@MIA,1,263,1,0,0,0,6.2,26,4,3,3,2,2,8,10.8,2.7,2.7,0.143,93.80%,25.00%,18.20%,83.6,4.05,5.55,4.39,54
9/16/16,WSN,@ATL,1,262,1,0,0,0,7,30,7,2,2,0,2,8,10.29,2.57,0,0.35,77.80%,30.00%,0.00%,90.3,2.57,1.72,3.86,65
9/10/16,WSN,PHI,1,261,0,0,0,0,6.2,26,4,0,0,0,1,8,10.8,1.35,0,0.267,100.00%,26.70%,0.00%,86,0,2.1,3.85,77
9/5/16,WSN,ATL,1,260,1,0,0,0,7,32,7,2,2,0,2,5,6.43,2.57,0,0.28,77.80%,36.00%,0.00%,82.1,2.57,2.58,4.72,62
8/30/16,WSN,@PHI,1,259,1,0,0,0,8,27,3,2,2,1,1,11,12.38,1.13,1.13,0.143,76.90%,33.30%,11.10%,87.3,2.25,2.4,2.65,78
8/25/16,WSN,BAL,1,258,1,0,0,0,8,26,2,0,0,0,0,10,11.25,0,0,0.125,100.00%,37.50%,0.00%,85.1,0,0.65,2.1,93
8/20/16,WSN,@ATL,1,257,1,0,0,0,6.1,28,6,4,4,0,3,6,8.53,4.26,0,0.316,55.60%,42.10%,0.00%,87.6,5.68,2.67,5.3,53
8/15/16,WSN,@COL,1,256,0,0,0,0,4,21,7,4,4,1,2,3,6.75,4.5,2.25,0.4,65.80%,25.00%,10.00%,89.1,9,6.4,7.31,30
8/9/16,WSN,CLE,1,255,0,1,0,0,7,25,3,2,1,0,1,10,12.86,1.29,0,0.214,50.00%,15.40%,0.00%,88.4,1.29,0.72,2.86,77
8/3/16,WSN,@ARI,1,254,1,0,0,0,8,29,4,3,3,2,1,11,12.38,1.13,2.25,0.133,90.90%,29.40%,20.00%,87.8,3.38,4.02,2.85,67
7/29/16,WSN,@SFG,1,253,1,0,0,0,7,27,5,1,1,0,2,6,7.71,2.57,0,0.263,85.70%,31.60%,0.00%,86.9,1.29,2.29,4.67,70
7/23/16,WSN,SDP,1,252,0,0,0,0,7,25,4,2,2,1,0,10,12.86,0,1.29,0.214,76.90%,33.30%,14.30%,76.2,2.57,2.15,1.96,71
7/17/16,WSN,PIT,1,251,0,0,0,0,7,29,6,1,1,0,1,7,9,1.29,0,0.3,87.50%,42.10%,0.00%,89.8,1.29,2,3.91,71
7/9/16,WSN,@NYM,1,250,1,0,0,0,7,27,3,1,0,0,2,9,11.57,2.57,0,0.2,83.30%,33.30%,0.00%,89,0,1.86,3.29,77
7/4/16,WSN,MIL,1,249,0,1,0,0,6,26,4,1,1,1,3,7,10.5,4.5,1.5,0.2,100.00%,35.70%,14.30%,88.4,1.5,4.48,4.26,59
6/29/16,WSN,NYM,1,248,1,0,0,0,7.1,25,2,0,0,0,1,10,12.27,1.23,0,0.143,100.00%,28.60%,0.00%,91.4,0,0.83,2.19,87
6/24/16,WSN,@MIL,1,247,0,1,0,0,6,26,5,5,5,2,3,10,15,4.5,3,0.273,57.70%,46.20%,40.00%,90.8,7.5,5.65,2.7,42
6/18/16,WSN,@SDP,1,246,0,0,0,0,6,22,4,1,1,1,0,10,15,0,1.5,0.273,100.00%,25.00%,12.50%,90.5,1.5,1.98,2.03,68
6/13/16,WSN,CHC,1,245,1,0,0,0,7,23,2,1,1,1,0,11,14.14,0,1.29,0.091,100.00%,41.70%,16.70%,91,1.29,1.86,1.43,79
6/8/16,WSN,@CHW,1,244,1,0,0,0,7,26,5,0,0,0,1,6,7.71,1.29,0,0.263,100.00%,36.80%,0.00%,82.3,0,1.86,3.76,75
6/1/16,WSN,@PHI,1,243,1,0,0,0,8,31,5,2,2,1,2,11,12.38,2.25,1.13,0.235,89.30%,23.50%,9.10%,86.7,2.25,2.77,3.44,72
5/27/16,WSN,STL,1,242,0,1,0,0,7,27,3,5,5,1,4,6,7.71,5.14,1.29,0.125,35.70%,25.00%,10.00%,84.1,6.43,5,5.53,52
5/22/16,WSN,@MIA,1,241,1,0,0,0,8,29,6,2,2,1,0,8,9,0,1.13,0.25,87.00%,38.10%,14.30%,90,2.25,2.77,2.6,71
5/17/16,WSN,@NYM,1,240,0,1,0,0,6.1,25,3,2,2,2,3,10,14.21,4.26,2.84,0.111,100.00%,18.20%,28.60%,88.7,2.84,5.99,3.72,57
5/11/16,WSN,DET,1,239,1,0,0,0,9,33,6,2,2,2,0,20,20,0,2,0.364,100.00%,23.10%,28.60%,85.8,2,1.59,0,83
5/6/16,WSN,@CHC,1,238,0,1,0,0,5,25,7,7,7,4,3,7,12.6,5.4,7.2,0.273,68.20%,26.70%,50.00%,91.2,12.6,12.55,4.81,11
5/1/16,WSN,@STL,1,237,1,0,0,0,7,25,4,0,0,0,0,9,11.57,0,0,0.25,100.00%,25.00%,0.00%,85.5,0,0.58,2.48,82
4/26/16,WSN,PHI,1,236,0,0,0,0,6,27,7,3,3,1,4,7,10.5,6,1.5,0.4,83.30%,53.30%,33.30%,92.9,4.5,4.98,3.65,45
4/21/16,WSN,@MIA,1,235,0,1,0,0,5,25,8,5,5,1,2,3,5.4,3.6,1.8,0.389,62.50%,33.30%,16.70%,94.9,9,6.35,5.75,31
4/16/16,WSN,@PHI,1,234,1,0,0,0,7,27,5,1,1,1,1,7,9,1.29,1.29,0.222,100.00%,38.90%,10.00%,79.8,1.29,3.43,3.95,67
4/11/16,WSN,ATL,1,233,1,0,0,0,6,26,6,4,4,0,3,6,9,4.5,0,0.353,55.60%,60.00%,0.00%,86.9,6,2.65,3.48,51
4/4/16,WSN,@ATL,1,232,0,0,0,0,7,25,3,2,2,2,2,7,9,2.57,2.57,0.071,100.00%,37.50%,22.20%,79,2.57,5.72,4.15,60
10/3/15,WSN,@NYM,1,231,1,0,0,0,9,28,0,0,0,0,0,17,17,0,0,0,100.00%,54.50%,0.00%,83.4,0,-0.64,0.01,109
9/28/15,WSN,CIN,1,230,1,0,0,0,8,29,2,1,1,0,3,10,11.25,3.38,0,0.125,80.00%,60.00%,0.00%,81.9,1.13,1.76,2.31,83
9/23/15,WSN,BAL,1,229,0,1,0,0,6.2,29,7,4,4,2,2,12,16.2,2.7,2.7,0.385,80.60%,33.30%,28.60%,91.8,5.4,4.33,1.98,48
9/18/15,WSN,MIA,1,228,0,0,0,0,7,28,5,2,2,1,3,6,7.71,3.86,1.29,0.222,90.90%,33.30%,11.10%,92,2.57,4.56,4.6,58
9/13/15,WSN,@MIA,1,227,1,0,0,0,8,28,5,0,0,0,0,6,6.75,0,0,0.227,100.00%,28.60%,0.00%,87,0,1.63,3.48,82
9/7/15,WSN,NYM,1,226,0,0,0,0,6,25,7,5,5,3,0,6,9,0,4.5,0.25,71.40%,26.30%,33.30%,98.1,7.5,7.63,3.35,33
9/2/15,WSN,@STL,1,225,0,0,0,0,6,29,11,2,2,1,0,10,15,0,1.5,0.556,93.80%,27.80%,11.10%,87.8,3,1.97,2.01,50
8/28/15,WSN,MIA,1,224,0,1,0,0,7,27,6,4,4,2,0,8,10.29,0,2.57,0.235,62.50%,52.60%,25.00%,85.8,5.14,4.56,2.53,52
8/20/15,WSN,@COL,1,223,0,1,0,0,6,29,8,3,3,0,3,7,10.5,4.5,0,0.421,72.70%,31.60%,0.00%,82.6,4.5,2.3,4.02,50
8/14/15,WSN,@SFG,1,222,0,1,0,0,3,17,7,6,6,2,0,3,9,0,6,0.455,38.50%,33.30%,50.00%,90.6,18,10.8,4.1,15
8/9/15,WSN,COL,1,221,0,0,0,0,6,27,8,4,4,3,1,10,15,1.5,4.5,0.385,100.00%,25.00%,37.50%,92.6,6,6.8,2.27,36
8/4/15,WSN,ARI,1,220,0,0,0,0,6,25,4,3,3,0,3,9,13.5,4.5,0,0.308,57.10%,33.30%,0.00%,88.1,4.5,1.63,2.86,60
7/30/15,WSN,@MIA,1,219,1,0,0,0,7,25,3,0,0,0,3,6,7.71,3.86,0,0.188,100.00%,66.70%,0.00%,85.4,0,2.71,3.55,74
7/24/15,WSN,@PIT,1,218,0,0,0,0,5,23,7,5,5,3,1,8,14.4,1.8,5.4,0.364,78.90%,50.00%,60.00%,96.3,9,8.33,2.01,27
7/19/15,WSN,LAD,1,217,0,1,0,0,6,26,7,1,1,0,1,8,12,1.5,0,0.412,87.50%,37.50%,0.00%,85.3,1.5,0.97,1.95,63
7/12/15,WSN,@BAL,1,216,1,0,0,0,8.2,30,4,2,2,2,0,7,7.27,0,2.08,0.095,100.00%,30.40%,16.70%,88.4,2.08,4.52,3.56,71
7/7/15,WSN,CIN,1,215,0,1,0,0,4.2,22,7,5,5,1,0,4,7.71,0,1.93,0.375,45.50%,17.60%,9.10%,87.7,9.64,4.85,5.54,35
7/2/15,WSN,@ATL,1,214,0,1,0,0,8.1,29,5,2,2,0,0,9,9.72,0,0,0.25,60.00%,38.90%,0.00%,83.5,2.16,0.97,2.57,81
6/26/15,WSN,@PHI,1,213,1,0,0,0,8,29,5,2,2,1,0,7,7.88,0,1.13,0.19,83.30%,42.90%,10.00%,88.1,2.25,3.01,3.23,71
6/20/15,WSN,PIT,1,212,1,0,0,0,9,28,0,0,0,0,0,10,10,0,0,0,100.00%,23.50%,0.00%,85,0,1.25,3.38,102
6/14/15,WSN,@MIL,1,211,1,0,0,0,9,29,1,0,0,0,1,16,16,1,0,0.083,100.00%,50.00%,0.00%,74.5,0,-0.09,0.73,104
6/9/15,WSN,@NYY,1,210,0,1,0,0,6.2,30,8,4,4,1,1,7,9.45,1.35,1.35,0.333,65.80%,27.30%,14.30%,88.9,5.4,3.43,3.03,49
6/2/15,WSN,TOR,1,209,0,1,0,0,6,27,6,4,4,2,2,5,7.5,3,3,0.222,76.90%,26.30%,22.20%,87.9,6,6.8,4.68,39
5/27/15,WSN,@CHC,1,208,1,0,0,0,7,27,5,0,0,0,1,13,16.71,1.29,0,0.385,100.00%,15.40%,0.00%,86,0,-0.15,1.32,81
5/22/15,WSN,PHI,1,207,1,0,0,0,8,29,4,1,1,0,1,6,6.75,1.13,0,0.182,80.00%,36.40%,0.00%,83.5,1.13,2.01,4.41,79
5/16/15,WSN,@SDP,1,206,1,0,0,0,7,27,4,0,0,0,2,11,14.14,2.57,0,0.286,100.00%,35.70%,0.00%,91.6,0,0.85,2.32,79
5/11/15,WSN,@ARI,1,205,1,0,0,0,7,27,5,1,1,1,1,6,7.71,1.29,1.29,0.211,100.00%,42.10%,12.50%,87,1.29,3.71,3.53,65
5/6/15,WSN,MIA,1,204,1,0,0,0,7,30,10,5,5,1,0,10,12.86,0,1.29,0.474,58.10%,26.30%,14.30%,83.9,6.43,2.13,1.75,49
5/1/15,WSN,@NYM,1,203,0,1,0,0,7,27,5,1,1,1,1,10,12.86,1.29,1.29,0.286,100.00%,42.90%,16.70%,90.6,1.29,2.99,2.4,69
4/23/15,WSN,STL,1,202,0,1,0,0,7,27,6,2,2,0,0,4,5.14,0,0,0.273,71.40%,40.90%,0.00%,86.5,2.57,2.42,4.53,66
4/17/15,WSN,PHI,1,201,1,0,0,0,8,29,4,1,1,0,0,9,10.13,0,0,0.2,75.00%,47.40%,0.00%,84.2,1.13,0.88,2.36,84
4/12/15,WSN,@PHI,1,200,0,0,0,0,6,26,6,1,1,0,2,8,12,3,0,0.375,87.50%,25.00%,0.00%,80.4,1.5,1.47,3.19,63
4/6/15,WSN,NYM,1,199,0,1,0,0,7.2,31,4,3,0,0,2,8,9.39,2.35,0,0.19,50.00%,33.30%,0.00%,86,0,1.83,3.95,71
9/25/14,DET,MIN,1,198,1,0,0,0,6,27,5,2,2,0,4,9,13.5,6,0,0.357,77.80%,28.60%,0.00%,,3,2.13,3.37,58
9/20/14,DET,@KCR,1,197,1,0,0,0,7,29,7,1,0,0,1,6,7.71,1.29,0,0.333,88.90%,42.10%,0.00%,,0,2.28,3.69,66
9/15/14,DET,@MIN,1,196,0,0,0,0,7,27,7,4,4,1,1,5,6.43,1.29,1.29,0.3,60.60%,35.00%,9.10%,,5.14,3.99,4.07,50
9/9/14,DET,KCR,1,195,1,0,0,0,6.2,30,7,1,1,0,4,6,8.1,5.4,0,0.35,90.90%,30.00%,0.00%,,1.35,3.13,4.06,58
9/4/14,DET,@CLE,1,194,0,0,0,0,6,26,4,3,2,0,3,6,9,4.5,0,0.235,57.10%,17.60%,0.00%,,3,2.63,4.9,56
8/30/14,DET,@CHW,1,193,0,1,0,0,6.2,30,9,6,5,2,0,11,14.85,0,2.7,0.412,48.40%,47.40%,40.00%,,6.75,3.73,0.76,40
8/24/14,DET,@MIN,1,192,1,0,0,0,5,24,7,3,3,0,1,4,7.2,1.8,0,0.389,66.70%,50.00%,0.00%,,5.4,2.73,3.97,46
8/19/14,DET,@TBR,1,191,0,0,0,0,7,29,4,4,4,1,3,9,11.57,3.86,1.29,0.2,60.60%,33.30%,12.50%,,5.14,4.13,3.69,56
8/14/14,DET,PIT,1,190,1,0,0,0,8,28,3,0,0,0,2,14,15.75,2.25,0,0.25,100.00%,41.70%,0.00%,,0,0.38,1.15,89
8/9/14,DET,@TOR,1,189,0,0,0,0,8,27,4,1,1,0,0,11,12.38,0,0,0.25,75.00%,43.80%,0.00%,,1.13,0.38,1.46,85
8/4/14,DET,@NYY,1,188,0,1,0,0,7,30,9,2,2,0,3,4,5.14,3.86,0,0.391,83.30%,21.70%,0.00%,,2.57,3.28,4.51,53
7/30/14,DET,CHW,1,187,1,0,0,0,7,25,5,1,1,0,1,6,7.71,1.29,0,0.278,83.30%,55.60%,0.00%,,1.29,1.85,2.73,70
7/24/14,DET,@LAA,1,186,1,0,0,0,7,28,6,3,3,0,1,11,14.14,1.29,0,0.375,57.10%,35.70%,0.00%,,3.86,0.42,1.3,67
7/19/14,DET,CLE,1,185,0,0,0,0,5.2,27,6,2,2,2,4,4,6.35,6.35,3.18,0.235,100.00%,44.40%,28.60%,,3.18,8.43,5.36,37
7/9/14,DET,LAD,1,184,1,0,0,0,7,26,4,1,1,1,2,7,9,2.57,1.29,0.188,100.00%,41.20%,12.50%,,1.29,3.85,3.4,65
7/3/14,DET,TBR,1,183,1,0,0,0,8,27,2,1,1,0,1,7,7.88,1.13,0,0.105,66.70%,31.60%,0.00%,,1.13,1.76,2.99,83
6/28/14,DET,@HOU,1,182,0,0,0,0,7,28,7,2,2,0,1,13,16.71,1.29,0,0.5,75.00%,57.10%,0.00%,,2.57,-0.15,0.73,70
6/22/14,DET,@CLE,1,181,1,0,0,0,6,26,6,1,1,0,2,8,12,3,0,0.375,87.50%,37.50%,0.00%,,1.5,1.47,2.5,62
6/17/14,DET,KCR,1,180,0,1,0,0,4,24,10,10,10,2,1,5,11.25,2.25,4.5,0.533,21.70%,31.30%,40.00%,,22.5,8.63,3.68,2
6/12/14,DET,@CHW,1,179,1,0,0,0,9,34,3,0,0,0,3,8,8,3,0,0.13,100.00%,34.80%,0.00%,,0,2.35,4.14,87
6/7/14,DET,BOS,1,178,1,0,0,0,6.2,31,11,4,4,1,1,9,12.15,1.35,1.35,0.5,75.50%,42.90%,12.50%,,5.4,2.83,2.37,44
6/1/14,DET,@SEA,1,177,0,1,0,0,6.2,27,9,4,4,1,0,7,9.45,0,1.35,0.421,65.80%,15.00%,7.70%,,5.4,2.98,3.44,48
5/27/14,DET,@OAK,1,176,0,0,0,0,6,28,8,5,5,1,2,4,6,3,1.5,0.35,62.50%,19.00%,8.30%,,7.5,5.47,5.77,36
5/21/14,DET,@CLE,1,175,0,0,0,0,7,34,12,7,7,1,2,5,6.43,2.57,1.29,0.423,55.60%,22.20%,6.70%,,9,4.42,5.21,29
5/16/14,DET,@BOS,1,174,1,0,0,0,6,23,3,0,0,0,4,7,10.5,6,0,0.25,100.00%,50.00%,0.00%,,0,2.8,3.62,66
5/10/14,DET,MIN,1,173,1,0,0,0,6,27,5,3,3,1,4,6,9,6,1.5,0.25,78.90%,23.50%,11.10%,,4.5,5.3,4.99,46
5/5/14,DET,HOU,1,172,1,0,0,0,8,28,3,0,0,0,1,9,10.13,1.13,0,0.176,100.00%,41.20%,0.00%,,0,1.63,2.87,86
4/30/14,DET,@CHW,1,171,1,0,0,0,6,25,4,0,0,0,3,7,10.5,4.5,0,0.267,100.00%,46.70%,0.00%,,0,2.3,2.92,66
4/24/14,DET,CHW,1,170,1,0,0,0,6,26,7,2,2,1,1,10,15,1.5,1.5,0.429,90.90%,33.30%,14.30%,,3,2.47,1.74,55
4/19/14,DET,LAA,1,169,1,0,0,0,7,25,3,1,1,1,2,9,11.57,2.57,1.29,0.154,100.00%,64.30%,20.00%,,1.29,3.28,2.3,69
4/13/14,DET,@SDP,1,168,0,1,0,0,5,23,4,4,4,1,3,10,18,5.4,1.8,0.333,53.60%,50.00%,25.00%,,7.2,3.53,1.92,45
4/8/14,DET,@LAD,1,167,0,0,0,0,7,28,8,2,2,1,1,8,10.29,1.29,1.29,0.389,92.10%,47.40%,20.00%,,2.57,3.13,2.16,57
4/2/14,DET,KCR,1,166,0,0,0,0,8,27,4,0,0,0,1,7,7.88,1.13,0,0.211,100.00%,31.60%,0.00%,,0,1.76,2.84,82
9/25/13,DET,@MIN,1,165,1,0,0,0,7,28,2,0,0,0,6,10,12.86,7.71,0,0.167,100.00%,36.40%,0.00%,,0,2.76,4.13,75
9/20/13,DET,CHW,1,164,1,0,0,0,6,25,6,3,3,1,1,3,4.5,1.5,1.5,0.25,71.40%,23.80%,10.00%,,4.5,4.71,4.82,49
9/15/13,DET,KCR,1,163,0,0,0,0,7,26,5,1,1,1,1,12,15.43,1.29,1.29,0.333,100.00%,15.40%,14.30%,,1.29,1.9,1.41,72
9/9/13,DET,@CHW,1,162,0,1,0,0,4,19,6,5,4,0,2,6,13.5,4.5,0,0.545,37.50%,36.40%,0.00%,,9,1.55,2.57,38
9/3/13,DET,@BOS,1,161,0,1,0,0,7,30,5,2,2,0,3,8,10.29,3.86,0,0.278,77.80%,27.80%,0.00%,,2.57,2.48,4.43,67
8/29/13,DET,OAK,1,160,0,0,0,0,5,24,8,6,5,2,1,5,9,1.8,3.6,0.375,48.40%,5.60%,18.20%,,9,6.85,4.65,26
8/24/13,DET,@NYM,1,159,1,0,0,0,6,25,3,0,0,0,4,11,16.5,6,0,0.3,100.00%,40.00%,0.00%,,0,1.38,2.52,72
8/18/13,DET,KCR,1,158,1,0,0,0,8,29,5,2,2,0,0,4,4.5,0,0,0.2,60.00%,44.00%,0.00%,,2.25,2.05,4.1,75
8/13/13,DET,@CHW,1,157,0,0,0,0,6,25,4,3,2,0,3,6,9,4.5,0,0.267,62.50%,26.70%,0.00%,,3,3.05,4.64,58
8/8/13,DET,@CLE,1,156,1,0,0,0,7,26,4,2,2,0,1,5,6.43,1.29,0,0.2,60.00%,35.00%,0.00%,,2.57,2.05,3.8,70
8/3/13,DET,CHW,1,155,1,0,0,0,7.2,28,3,0,0,0,3,6,7.04,3.52,0,0.158,100.00%,26.30%,0.00%,,0,2.66,4.62,79
7/27/13,DET,PHI,1,154,1,0,0,0,6,19,1,0,0,0,0,7,10.5,0,0,0.083,100.00%,33.30%,0.00%,,0,0.71,2.08,80
7/22/13,DET,@CHW,1,153,1,0,0,0,8,27,4,2,2,2,0,5,5.63,0,2.25,0.1,100.00%,36.40%,22.20%,,2.25,5.05,3.33,66
7/13/13,DET,TEX,1,152,0,1,0,0,6,28,8,4,4,1,2,6,9,3,1.5,0.368,69.80%,50.00%,16.70%,,6,4.21,3.41,43
7/8/13,DET,@CLE,1,151,0,0,0,0,7,30,7,2,2,0,3,7,9,3.86,0,0.35,80.00%,52.60%,0.00%,,2.57,2.33,3.5,62
7/3/13,DET,@TOR,1,150,1,0,0,0,6.1,27,7,2,2,0,1,8,11.37,1.42,0,0.412,77.80%,41.20%,0.00%,,2.84,1.47,3.41,63
6/28/13,DET,@TBR,1,149,1,0,0,0,7,26,4,3,3,2,1,9,11.57,1.29,2.57,0.143,90.90%,50.00%,33.30%,,3.86,4.62,2.08,59
6/22/13,DET,BOS,1,148,1,0,0,0,7,25,6,2,2,1,0,6,7.71,0,1.29,0.278,87.00%,52.60%,12.50%,,2.57,3.19,2.89,63
6/17/13,DET,BAL,1,147,1,0,0,0,6,27,7,1,1,1,2,10,15,3,1.5,0.429,100.00%,33.30%,16.70%,,1.5,2.88,2.08,58
6/11/13,DET,@KCR,1,146,1,0,0,0,7,25,3,2,2,1,2,6,7.71,2.57,1.29,0.125,83.30%,25.00%,11.10%,,2.57,4.05,3.95,65
6/6/13,DET,TBR,1,145,1,0,0,0,7,27,4,1,1,0,2,9,11.57,2.57,0,0.25,83.30%,25.00%,0.00%,,1.29,1.33,2.89,75
5/31/13,DET,@BAL,1,144,0,0,0,0,8,29,3,3,3,1,2,10,11.25,2.25,1.13,0.125,55.60%,17.60%,8.30%,,3.38,2.92,3.35,72
5/26/13,DET,MIN,1,143,1,0,0,0,6,25,3,1,1,0,3,6,9,4.5,0,0.188,83.30%,56.30%,0.00%,,1.5,2.55,3.69,66
5/21/13,DET,@CLE,1,142,1,0,0,0,8,27,2,1,1,0,1,7,7.88,1.13,0,0.105,66.70%,31.60%,0.00%,,1.13,1.67,2.7,85
5/15/13,DET,HOU,1,141,0,0,0,0,7,26,5,5,5,2,3,7,9,3.86,2.57,0.214,57.70%,31.30%,25.00%,,6.43,6.05,3.89,45
5/10/13,DET,CLE,1,140,1,0,0,0,8,29,5,4,4,0,0,7,7.88,0,0,0.227,20.00%,36.40%,0.00%,,4.5,1.3,2.83,72
5/4/13,DET,@HOU,1,139,1,0,0,0,8,27,3,1,1,1,2,8,9,2.25,1.13,0.125,100.00%,41.20%,16.70%,,1.13,3.42,2.82,76
