Season,Team,Level,Face,Age,G,AB,PA,1B,2B,3B,HR,H,AVG,R,RBI,BB,IBB,SO,HBP,SF,BB%,K%,BB/K,OBP,SLG,OPS,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,wOBA,wRAA,wRC,Bat,Fld,RAR,WAR,wRC+,WPA,Barrel%
2015,TEX,MLB,Bearded,21,36,108,123,12,3,1,6,22,0.204,16,14,15,3,57,0,0,0.122,0.463,0.26,0.301,0.417,0.717,0.356,0.95,0.275,0.353,0.373,0.158,0.316,0.305,-0.8,13,-1.9,1.6,5,0.5,87,-0.37,0.157
2016,TEX,MLB,Bearded,22,17,25,30,0,0,0,1,1,0.04,2,1,5,0,19,0,0,0.167,0.633,0.26,0.2,0.16,0.36,0,0.25,0.167,0.167,0.667,0,0.25,0.182,-3.4,0,-3.7,-0.8,-3.8,-0.4,-3,-0.59,0.167
2017,TEX,MLB,Bearded,23,145,449,532,32,18,3,41,94,0.209,85,80,75,1,196,8,0,0.141,0.368,0.38,0.333,0.537,0.869,0.25,0.51,0.179,0.279,0.542,0.118,0.301,0.364,19.2,84,12.5,-2.5,28.6,2.8,119,0.52,0.209
2018,TEX,MLB,Bearded,24,148,500,577,38,24,1,40,103,0.206,82,92,74,4,207,3,0,0.128,0.359,0.36,0.312,0.498,0.81,0.249,0.59,0.206,0.296,0.498,0.117,0.276,0.343,13.4,81,5.6,9,30.3,3.1,108,-0.42,0.222
2019,TEX,MLB,Bearded,25,70,241,297,23,15,1,22,61,0.253,54,49,52,4,114,2,1,0.175,0.384,0.46,0.389,0.598,0.986,0.368,0.58,0.256,0.272,0.472,0.119,0.373,0.401,20.8,58,16.7,4.2,32.8,3.2,144,0.51,0.256
2020,TEX,MLB,Bearded,26,57,193,226,17,8,0,10,35,0.181,23,26,29,2,79,4,0,0.128,0.35,0.37,0.301,0.378,0.679,0.24,0.48,0.183,0.266,0.55,0.117,0.167,0.297,-4.4,24,-3.6,5.6,10.3,1,87,0.46,0.14
2021,TEX,MLB,Bearded,27,95,310,388,37,6,1,25,69,0.223,57,55,74,4,125,4,0,0.191,0.322,0.59,0.379,0.49,0.869,0.275,0.76,0.178,0.356,0.467,0.095,0.298,0.372,18.6,66,18.5,7.9,37.4,3.8,139,-0.02,0.184
2021,NYY,MLB,Clean-Shaven,27,58,188,228,10,7,0,13,30,0.16,33,22,37,1,88,2,1,0.162,0.386,0.42,0.303,0.404,0.707,0.193,0.46,0.146,0.271,0.583,0.125,0.232,0.308,-1.2,26,-1.4,1.1,6.2,0.6,95,0.16,0.188
2022,NYY,MLB,Clean-Shaven,28,82,233,273,20,4,1,12,37,0.159,32,24,40,0,106,0,0,0.147,0.388,0.38,0.282,0.339,0.621,0.217,0.5,0.19,0.27,0.54,0.162,0.176,0.281,-6.5,25,-5.6,1.4,2.7,0.3,82,-1.71,0.173
2022,LAD,MLB,Bearded,28,6,15,15,2,1,0,1,4,0.267,2,3,0,0,8,0,0,0,0.533,0,0.267,0.533,0.8,0.5,0.67,0.286,0.286,0.429,0.333,0.333,0.339,0.3,2,0.4,0.7,1.3,0.1,120,0.14,0.143